row,document_raw,document_digits,key_used,reason
435,,,0,Documento vazio
436,,,0,Documento vazio
437,,,0,Documento vazio
438,,,0,Documento vazio
439,,,0,Documento vazio
440,,,0,Documento vazio
441,,,0,Documento vazio
442,,,0,Documento vazio
443,,,0,Documento vazio
444,,,0,Documento vazio
445,,,0,Documento vazio
446,,,0,Documento vazio
447,,,0,Documento vazio
448,,,0,Documento vazio
449,,,0,Documento vazio
450,,,0,Documento vazio
451,,,0,Documento vazio
452,,,0,Documento vazio
453,,,0,Documento vazio
454,,,0,Documento vazio
455,,,0,Documento vazio
456,,,0,Documento vazio
457,,,0,Documento vazio
458,,,0,Documento vazio
459,,,0,Documento vazio
460,,,0,Documento vazio
461,,,0,Documento vazio
462,,,0,Documento vazio
463,,,0,Documento vazio
464,,,0,Documento vazio
465,,,0,Documento vazio
466,,,0,Documento vazio
467,,,0,Documento vazio
468,,,0,Documento vazio
469,,,0,Documento vazio
470,,,0,Documento vazio
471,,,0,Documento vazio
472,,,0,Documento vazio
473,,,0,Documento vazio
474,,,0,Documento vazio
475,,,0,Documento vazio
476,,,0,Documento vazio
477,,,0,Documento vazio
478,,,0,Documento vazio
479,,,0,Documento vazio
480,,,0,Documento vazio
481,,,0,Documento vazio
482,,,0,Documento vazio
483,,,0,Documento vazio
484,,,0,Documento vazio
485,,,0,Documento vazio
486,,,0,Documento vazio
487,,,0,Documento vazio
488,,,0,Documento vazio
489,,,0,Documento vazio
490,,,0,Documento vazio
491,,,0,Documento vazio
492,,,0,Documento vazio
493,,,0,Documento vazio
494,,,0,Documento vazio
495,,,0,Documento vazio
496,,,0,Documento vazio
497,,,0,Documento vazio
498,,,0,Documento vazio
499,,,0,Documento vazio
500,,,0,Documento vazio
501,,,0,Documento vazio
502,,,0,Documento vazio
503,,,0,Documento vazio
504,,,0,Documento vazio
505,,,0,Documento vazio
506,,,0,Documento vazio
507,,,0,Documento vazio
508,,,0,Documento vazio
509,,,0,Documento vazio
510,,,0,Documento vazio
511,,,0,Documento vazio
512,,,0,Documento vazio
513,,,0,Documento vazio
